start_date,city,#trips
2020-04-17,San Francisco,2629
2020-04-18,Chicago,5116
2020-04-18,NYC,15909
2020-04-18,San Francisco,4043
2020-04-19,Chicago,5158
2020-04-19,NYC,47049
2020-04-19,San Francisco,3719
2020-04-20,Chicago,3903
2020-04-20,NYC,21882
2020-04-20,San Francisco,2423
2020-04-21,Chicago,2627
2020-04-21,NYC,17050
2020-04-21,San Francisco,2658
2020-04-22,Chicago,1995
2020-04-22,NYC,23783
2020-04-22,San Francisco,2911
2020-04-23,Chicago,2284
2020-04-23,NYC,19125
2020-04-23,San Francisco,3086
2020-04-24,Chicago,2284
2020-04-24,NYC,12610
2020-04-24,San Francisco,3661
2020-04-25,Chicago,1048
2020-04-25,NYC,58898
2020-04-25,San Francisco,5393
2020-04-26,Chicago,6200
2020-04-26,NYC,9586
2020-04-26,San Francisco,4108
2020-04-27,Chicago,2595
2020-04-27,NYC,17795
2020-04-27,San Francisco,2811
2020-04-28,Chicago,3392
2020-04-28,NYC,39619
2020-04-28,San Francisco,3326
2020-04-29,Chicago,645
2020-04-29,NYC,21653
2020-04-29,San Francisco,2767
2020-04-30,Chicago,2567
2020-04-30,NYC,14542
2020-04-30,San Francisco,3190
2020-05-01,Chicago,4751
2020-05-01,NYC,24945
2020-05-01,San Francisco,3840
2020-05-02,Chicago,11811
2020-05-02,NYC,72808
2020-05-02,San Francisco,4880
2020-05-03,Chicago,9414
2020-05-03,NYC,63731
2020-05-03,San Francisco,5396
2020-05-04,Chicago,2634
2020-05-04,NYC,32356
2020-05-04,San Francisco,3209
2020-05-05,Chicago,1953
2020-05-05,NYC,35078
2020-05-05,San Francisco,3298
2020-05-06,Chicago,4775
2020-05-06,NYC,17274
2020-05-06,San Francisco,3512
2020-05-07,Chicago,4997
2020-05-07,NYC,43677
2020-05-07,San Francisco,3743
2020-05-08,Chicago,2793
2020-05-08,NYC,17326
2020-05-08,San Francisco,4404
2020-05-09,Chicago,7945
2020-05-09,NYC,27747
2020-05-09,San Francisco,4852
2020-05-10,Chicago,1394
2020-05-10,NYC,54504
2020-05-10,San Francisco,4289
2020-05-11,Chicago,2871
2020-05-11,NYC,22729
2020-05-11,San Francisco,2388
2020-05-12,Chicago,4745
2020-05-12,NYC,35998
2020-05-12,San Francisco,3078
2020-05-13,Chicago,5762
2020-05-13,NYC,40592
2020-05-13,San Francisco,2883
2020-05-14,Chicago,3036
2020-05-14,NYC,41586
2020-05-14,San Francisco,2752
2020-05-15,Chicago,7031
2020-05-15,NYC,52903
2020-05-15,San Francisco,4209
2020-05-16,Chicago,8975
2020-05-16,NYC,80292
2020-05-16,San Francisco,6323
2020-05-17,Chicago,691
2020-05-17,NYC,63553
2020-05-17,San Francisco,4870
2020-05-18,Chicago,3885
2020-05-18,NYC,39154
2020-05-18,San Francisco,3407
2020-05-19,Chicago,2852
2020-05-19,NYC,40934
2020-05-19,San Francisco,3824
2020-05-20,Chicago,6348
2020-05-20,NYC,45558
2020-05-20,San Francisco,3757
2020-05-21,Chicago,5602
2020-05-21,NYC,48560
2020-05-21,San Francisco,4106
2020-05-22,Chicago,7569
2020-05-22,NYC,47441
2020-05-22,San Francisco,5353
2020-05-23,Chicago,8784
2020-05-23,NYC,23012
2020-05-23,San Francisco,7059
2020-05-24,Chicago,14836
2020-05-24,NYC,72889
2020-05-24,San Francisco,7104
2020-05-25,Chicago,14268
2020-05-25,NYC,67876
2020-05-25,San Francisco,6980
2020-05-26,Chicago,7711
2020-05-26,NYC,53062
2020-05-26,San Francisco,4266
2020-05-27,Chicago,8121
2020-05-27,NYC,55071
2020-05-27,San Francisco,4372
2020-05-28,Chicago,6785
2020-05-28,NYC,46091
2020-05-28,San Francisco,3971
2020-05-29,Chicago,10580
2020-05-29,NYC,53356
2020-05-29,San Francisco,4703
2020-05-30,Chicago,17162
2020-05-30,NYC,87081
2020-05-30,San Francisco,5818
2020-05-31,Chicago,193
2020-05-31,NYC,80706
2020-05-31,San Francisco,5876
2020-06-01,NYC,52926
2020-06-01,San Francisco,4588
2020-06-02,NYC,46471
2020-06-02,San Francisco,4629
2020-06-03,Chicago,6296
2020-06-03,NYC,28766
2020-06-03,San Francisco,7163
2020-06-04,Chicago,7628
2020-06-04,NYC,39659
2020-06-04,San Francisco,4527
2020-06-05,Chicago,8922
2020-06-05,NYC,33064
2020-06-05,San Francisco,5135
2020-06-06,Chicago,15239
2020-06-06,NYC,56263
2020-06-06,San Francisco,7183
2020-06-07,Chicago,13224
2020-06-07,NYC,80441
2020-06-07,San Francisco,6036
2020-06-08,Chicago,10368
2020-06-08,NYC,60847
2020-06-08,San Francisco,4363
2020-06-09,Chicago,5608
2020-06-09,NYC,61666
2020-06-09,San Francisco,5005
2020-06-10,Chicago,7676
2020-06-10,NYC,63108
2020-06-10,San Francisco,4947
2020-06-11,Chicago,12275
2020-06-11,NYC,43845
2020-06-11,San Francisco,4725
2020-06-12,Chicago,11989
2020-06-12,NYC,72497
2020-06-12,San Francisco,5150
2020-06-13,Chicago,14278
2020-06-13,NYC,89690
2020-06-13,San Francisco,7246
2020-06-14,Chicago,14602
2020-06-14,NYC,79731
2020-06-14,San Francisco,5933
2020-06-15,Chicago,10164
2020-06-15,NYC,57555
2020-06-15,San Francisco,4320
2020-06-16,Chicago,12081
2020-06-16,NYC,65295
2020-06-16,San Francisco,4867
2020-06-17,Chicago,12827
2020-06-17,NYC,63989
2020-06-17,San Francisco,5324
2020-06-18,Chicago,13319
2020-06-18,NYC,62094
2020-06-18,San Francisco,5521
2020-06-19,Chicago,16307
2020-06-19,NYC,79280
2020-06-19,San Francisco,6329
2020-06-20,Chicago,14665
2020-06-20,NYC,80792
2020-06-20,San Francisco,6046
2020-06-21,Chicago,14824
2020-06-21,NYC,72206
2020-06-21,San Francisco,5264
2020-06-22,Chicago,7036
2020-06-22,NYC,59788
2020-06-22,San Francisco,4245
2020-06-23,Chicago,13692
2020-06-23,NYC,67299
2020-06-23,San Francisco,4482
2020-06-24,Chicago,12890
